"UMPD Case Number","Date Occurred","Report Date","Crime Type","Disposition","col_1","address"
"2025-00229663","10/10/2025 18:00:00","10/15/2025 - 17:28","Theft","Investigation Pending",NA,"3800 block of Stadium Dr"
"2025-00229793","10/15/2025 22:44:00","10/15/2025 - 22:44","Injured/Sick Person","CBE",NA,"4400 block of Rossborough Ln"
"2025-00230090","10/16/2025 06:51:00","10/16/2025 - 06:51","Injured/Sick Person","CBE",NA,"Stanley R. Zupnick Hall at 8184 Paint Branch Dr"
"2025-00230386","10/16/2025 17:27:00","10/16/2025 - 17:27","Suspicious Person/Auto","CBE",NA,"7000 block of 52nd Ave"
"2025-00230447","10/16/2025 17:15:00","10/16/2025 - 19:48","Assist Other Agency","Active/Pending",NA,"Five Guys at 7346 Baltimore Ave"
"2025-00230579","10/09/2025 12:00:00","10/16/2025 - 22:57","Theft","Active/Pending",NA,"4200 block of Farm Dr"
"2025-00231106","10/17/2025 04:27:00","10/17/2025 - 04:27","DWI/DUI","Arrest",NA,"4300 block of Campus Dr"
"2025-00231499","10/17/2025 16:20:00","10/17/2025 - 16:40","Other Incident","CBE",NA,"4600 block of Rossborough Ln"
"2025-00231539","10/17/2025 17:20:00","10/17/2025 - 17:22","Assist Other Agency","CBE",NA,"4700 block of Navahoe St"
"2025-00231672","10/17/2025 19:52:00","10/17/2025 - 19:52","Alarm","CBE",NA,"7500 block of Regents Dr"
"2025-00231848","10/17/2025 22:48:00","10/17/2025 - 22:48","Injured/Sick Person","CBE",NA,"3900 block of Denton Service Ln"
"2025-00232073","10/18/2025 00:52:00","10/18/2025 - 00:52","Assist Other Agency","CBE",NA,"7400 block of Baltimore Ave"
"2025-00232096","10/18/2025 01:09:00","10/18/2025 - 01:09","Injured/Sick Person","CBE",NA,"8000 block of La Plata Dr"
"2025-00232581","10/18/2025 16:09:00","10/18/2025 - 16:09","Injured/Sick Person","CBE",NA,"4100 block of Valley Dr"
"2025-00232584","10/18/2025 13:00:00","10/18/2025 - 16:24","Theft","Active/Pending",NA,"4000 block of Union Dr"
"2025-00232583","10/18/2025 16:30:00","10/18/2025 - 16:37","Injured/Sick Person","CBE",NA,"3900 block of Campus Dr"
"2025-00232585","10/18/2025 00:10:00","10/18/2025 - 16:47","Vandalism","Active/Pending",NA,"4500 block of College Ave"
"2025-00232609","10/18/2025 11:00:00","10/18/2025 - 18:14","Emergency Petition","CBE",NA,"7100 block of Rhode Island Ave"
"2025-00232638","10/18/2025 20:20:00","10/18/2025 - 20:28","Injured/Sick Person","CBE",NA,"6800 block of Preinkert Dr"
"2025-00232763","10/18/2025 22:55:00","10/18/2025 - 22:58","Alcohol Violation","Arrest",NA,"8000 block of Regents Dr"
"2025-00232824","10/18/2025 23:32:00","10/18/2025 - 23:32","Injured/Sick Person","CBE",NA,"7300 block of Baltimore Ave"
"2025-00232926","10/19/2025 01:47:00","10/19/2025 - 01:47","Injured/Sick Person","CBE",NA,"7500 block of Yale Ave"
"2025-00233069","10/19/2025 05:55:00","10/19/2025 - 05:55","Emergency Petition","CBE",NA,"7400 block of Preinkert Dr"
"2025-00233519","10/19/2025 18:00:00","10/19/2025 - 18:39","Injured/Sick Person","Active/Pending",NA,"4100 block of Stadium Dr"
"2025-00233733","10/20/2025 00:17:00","10/20/2025 - 02:37","Accident","Active/Pending",NA,"Regents Dr"
"2025-00234341","10/18/2025 14:10:00","10/20/2025 - 13:12","Theft","Active/Pending",NA,"4300 block of Knox Rd"
"2025-00234624","10/10/2025 18:00:00","10/20/2025 - 18:41","Theft","Active/Pending",NA,"4100 block of Stadium Dr"
"2025-00234862","10/20/2025 23:00:00","10/21/2025 - 00:18","Injured/Sick Person","CBE",NA,"7400 block of Calvert Service Ln"
"2025-00235382","10/21/2025 12:15:00","10/21/2025 - 14:20","Theft","Active/Pending",NA,"7300 block of Preinkert Dr"
"2025-00235576","10/21/2025 18:54:00","10/21/2025 - 19:59","Trespassing","Active/Pending",NA,"4100 block of Library Ln"
"2025-00235639","10/21/2025 21:00:00","10/21/2025 - 21:47","Other Incident","Active/Pending",NA,"3800 block of Stadium Dr"
"2025-00235852","10/22/2025 01:30:00","10/22/2025 - 01:37","Injured/Sick Person","CBE",NA,"7900 block of Regents Dr"
"2025-00235996","10/22/2025 08:10:00","10/22/2025 - 08:17","Theft","Active/Pending",NA,"4100 block of Stadium Dr"
"2025-00236608","10/22/2025 23:00:00","10/23/2025 - 00:52","Theft","Active/Pending",NA,"8000 block of Hagerstown Dr"
"2025-00236994","10/23/2025 13:17:00","10/23/2025 - 13:17","Other Incident","CBE",NA,"4000 block of Campus Dr"
"2025-00237005","10/23/2025 11:15:00","10/23/2025 - 13:42","Theft from Auto","Active/Pending",NA,"7500 block of Mowatt Ln"
"2025-00237179","10/22/2025 19:30:00","10/23/2025 - 20:24","Found/Recovered Property","Active/Pending",NA,"3900 block of Denton Service Ln"
"2025-00237186","10/23/2025 21:03:00","10/23/2025 - 21:06","Vandalism","Active/Pending",NA,"3900 block of Denton Service Ln"
"2025-00237191","10/23/2025 19:00:00","10/23/2025 - 21:25","Injured/Sick Person","CBE",NA,"3900 block of Campus Dr"
"2025-00238036","10/24/2025 12:36:00","10/24/2025 - 12:36","Assist Other Agency","CBE",NA,"7500 block of Baltimore Ave"
"2025-00238470","10/24/2025 20:18:00","10/24/2025 - 20:18","Other Incident","CBE",NA,"7500 block of Preinkert Dr"
"2025-00238687","10/25/2025 00:18:00","10/25/2025 - 00:18","Injured/Sick Person","CBE",NA,"8100 block of Baltimore Ave"
"2025-00239398","10/25/2025 20:01:00","10/25/2025 - 20:01","DWI/DUI","Arrest",NA,"University Blvd"
"2025-00239485","10/25/2025 23:28:00","10/25/2025 - 23:28","DWI/DUI","Arrest",NA,"University Blvd"
"2025-00239525","10/26/2025 00:37:00","10/26/2025 - 00:37","Injured/Sick Person","CBE",NA,"Frat 13, Zeta Psi Fraternity at 13 Fraternity Row"
"2025-00239600","10/26/2025 04:48:00","10/26/2025 - 04:48","Injured/Sick Person","CBE",NA,"8000 block of La Plata Dr"
"2025-00239764","10/25/2025 12:00:00","10/26/2025 - 10:20","Vandalism","Active/Pending",NA,"Lot A"
"2025-00240055","10/26/2025 17:15:00","10/26/2025 - 18:42","Theft","Active/Pending",NA,"Engineering Fields"
"2025-00240335","10/27/2025 06:36:00","10/27/2025 - 06:36","Injured/Sick Person","CBE",NA,"3400 block of Tulane Dr"
"2025-00240567","10/24/2025 04:00:00","10/27/2025 - 09:25","Other Incident","Active/Pending",NA,"4300 block of Terrapin Trl"
