"UMPD Case Number","Date Occurred","Report Date","Crime Type","Disposition","col_1","address"
"2023-00089757","10/10/2023 08:00:00","10/10/2023 - 13:22","Theft","Unfounded",NA,"48, Francis Scott, Francis Scott Key, Francis Scott Key Hall, FS Key Hall, FSK at 4282 Chapel Ln"
"2023-00089775","10/09/2023 12:00:00","10/10/2023 - 14:06","Theft","Investigation Pending",NA,"Atlantic Building, Computer & Space Sciences Building at 4254 Stadium Dr"
"2023-00089781","10/09/2023 16:00:00","10/10/2023 - 14:40","Assist Other Agency","CBE",NA,"15300 block of Straughn Dr"
"2023-00089784","10/09/2023 17:45:00","10/10/2023 - 15:22","Theft","Arrest",NA,"4100 block of Campus Dr"
"2023-00089786","10/10/2023 15:38:00","10/10/2023 - 15:48","Indecent Exposure","Investigation Pending",NA,"PG3, SDG, Stadium Drive Garage, Stadium Drive Parking Garage at 4025 Stadium Dr"
"2023-00089795","10/10/2023 16:00:00","10/10/2023 - 16:24","Emergency Petition","CBE",NA,"3900 block of Campus Dr"
"2023-00089905","10/10/2023 22:13:00","10/10/2023 - 22:13","Suspicious Person/Auto","CBE",NA,"Lot HH, PG1, ULG, Union Lane Garage, Union Lane Parking Garage at 4170 Union Ln"
"2023-00089947","10/11/2023 00:20:00","10/11/2023 - 00:20","Injured/Sick Person","CBE",NA,"Baltimore Ave"
"2023-00090039","10/10/2023 18:00:00","10/11/2023 - 06:18","Theft","Unfounded",NA,"39, Van Munching, Van Munching Hall at 7699 Mowatt Ln"
"2023-00090042","10/11/2023 08:23:00","10/11/2023 - 08:23","Accident - Departmental","CBE",NA,"270 at 4316 Rowalt Dr"
"2023-00090051","10/11/2023 09:06:00","10/11/2023 - 09:06","Hazardous Condition","CBE",NA,"E. A. Fernandez Idea Factory, Idea Factory at 4462 Stadium Dr"
"2023-00090069","10/11/2023 10:04:00","10/11/2023 - 10:04","Assist Fire Department","CBE",NA,"Frat 1, Greek House 1, KA, Kappa Alpha, Kappa Alpha Fraternity at 1 Fraternity Row"
"2023-00090072","10/11/2023 10:37:00","10/11/2023 - 10:37","Injured/Sick Person","CBE",NA,"89, C. D. Mote, Jr. Engineering Laboratory at 8136 Paint Branch Dr"
