"UMPD Case Number","Date Occurred","Report Date","Crime Type","Disposition","col_1","address"
"2024-00178971","10/18/2024 20:16:00","10/18/2024 - 20:16","Emergency Petition","CBE",NA,"Commons 7, SCC 7, South Campus Commons 7 at 6801 Preinkert Dr"
"2024-00178975","10/18/2024 20:30:00","10/18/2024 - 20:47","Assist Other Agency","CBE",NA,"4300 block of Calvert Rd"
"2024-00178981","10/18/2024 21:00:00","10/18/2024 - 21:21","Assist Other Agency","CBE",NA,"MFRI, MFRI Office/Classroom Building at 4500 Campus Dr"
"2024-00179005","10/18/2024 22:30:00","10/18/2024 - 22:34","Injured/Sick Person","CBE",NA,"77, Main Admin, Main Administration Building, Thomas V. Miller Jr. Administration Building at 7901 Regents Dr"
"2024-00179075","10/18/2024 23:35:00","10/18/2024 - 23:35","Assist Other Agency","CBE",NA,"4200 block of Van Buren St"
"2024-00179099","10/19/2024 00:01:00","10/19/2024 - 00:01","CDS Violation","Active/Pending",NA,"Easton, Easton Hall at 3917 Denton Service Ln"
"2024-00179135","10/19/2024 00:59:00","10/19/2024 - 00:59","Injured/Sick Person","CBE",NA,"4000 block of Stadium Dr"
"2024-00179169","10/19/2024 01:42:00","10/19/2024 - 01:42","Injured/Sick Person","CBE",NA,"Energy Research Facility at 8279 Paint Branch Dr"
"2024-00179612","10/19/2024 14:39:00","10/19/2024 - 14:39","Injured/Sick Person","CBE",NA,"Lot 3"
"2024-00179678","10/19/2024 16:58:00","10/19/2024 - 16:58","Injured/Sick Person","CBE",NA,"Capital One Field, Football Stadium, SECU Stadium"
"2024-00179679","10/19/2024 17:02:00","10/19/2024 - 17:02","Other Incident","CBE",NA,"Capital One Field, Football Stadium, SECU Stadium"
"2024-00179690","10/19/2024 18:00:00","10/19/2024 - 18:04","Injured/Sick Person","CBE",NA,"Capital One Field, Football Stadium, SECU Stadium"
"2024-00179773","10/19/2024 21:44:00","10/19/2024 - 21:44","Other Incident","Arrest",NA,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
"2024-00179771","10/19/2024 22:29:00","10/19/2024 - 22:29","Found/Recovered Property","Arrest",NA,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
"2024-00179772","10/19/2024 22:20:00","10/19/2024 - 22:30","Injured/Sick Person","CBE",NA,"4, Ritchie Coliseum at 7675 Baltimore Ave"
"2024-00179908","10/20/2024 01:15:00","10/20/2024 - 01:15","DWI/DUI","Arrest",NA,"University Blvd"
"2024-00179935","10/20/2024 02:03:00","10/20/2024 - 02:03","Injured/Sick Person","CBE",NA,"Cornerstone, Cornerstone Grill at 7325 Baltimore Ave"
"2024-00180000","10/20/2024 03:00:00","10/20/2024 - 03:00","Injured/Sick Person","CBE",NA,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
"2024-00180085","10/20/2024 04:25:00","10/20/2024 - 05:29","Accident - Departmental","CBE",NA,"35, McKeldin Library at 7649 Library Ln"
"2024-00180227","10/20/2024 01:00:00","10/20/2024 - 11:01","Vandalism","Investigation Pending",NA,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
"2024-00180267","10/20/2024 08:30:00","10/20/2024 - 12:43","Hate Bias Incident","Unfounded",NA,"LaPlata Beach"
"2024-00180306","10/20/2024 16:03:00","10/20/2024 - 16:03","Injured/Sick Person","CBE",NA,"LaPlata Beach"
"2024-00180322","10/20/2024 17:00:00","10/20/2024 - 17:09","Fire","CBE",NA,"Methodist Church, University Methodist Church at 3621 Campus Dr"
"2024-00180772","09/11/2024 16:00:00","10/21/2024 - 09:34","Police Information","Active/Pending",NA,"Seneca Building at 4716 Pontiac St"
"2024-00180797","10/17/2024 13:30:00","10/21/2024 - 09:45","Suspicious Person/Auto","Active/Pending",NA,"Tawes, Tawes Hall at 7751 Alumni Dr"
"2024-00180782","10/21/2024 03:39:00","10/21/2024 - 09:45","Check on the  Welfare","CBE",NA,"Cumberland Hall at 4250 Farm Dr"
"2024-00180798","10/21/2024 10:00:00","10/21/2024 - 10:10","Hazardous Condition","CBE",NA,""
"2024-00180799","10/21/2024 09:30:00","10/21/2024 - 10:20","Injured/Sick Person","CBE",NA,"Yahentamitsi at 4136 Stadium Dr"
"2024-00180863","10/18/2024 08:00:00","10/21/2024 - 11:45","Theft","Investigation Pending",NA,"Lot 4J"
"2024-00180907","10/21/2024 10:55:00","10/21/2024 - 12:27","Injured/Sick Person","CBE",NA,"Edward St. John Learning and Teaching Center, ESJ at 4131 Campus Dr"
"2024-00180949","10/21/2024 11:00:00","10/21/2024 - 13:47","Indecent Exposure","Investigation Pending",NA,"7300 block of Preinkert Dr"
"2024-00180985","10/21/2024 14:35:00","10/21/2024 - 14:38","Fire","CBE",NA,"4000 block of Campus Dr"
"2024-00181174","10/20/2024 20:00:00","10/21/2024 - 19:39","Theft","Active/Pending",NA,"Easton, Easton Hall at 3917 Denton Service Ln"
"2024-00181868","10/21/2024 18:30:00","10/22/2024 - 09:54","Theft","Active/Pending",NA,"25, Charles, Charles Hall at 4405 Lehigh Rd"
"2024-00181870","05/01/2024 00:00:00","10/22/2024 - 10:01","Assist Other Agency","Active/Pending",NA,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
"2024-00181895","10/21/2024 16:00:00","10/22/2024 - 10:49","Theft","Unfounded",NA,"Atlantic Building, Computer & Space Sciences Building at 4254 Stadium Dr"
"2024-00181922","10/22/2024 11:30:00","10/22/2024 - 11:38","Injured/Sick Person","CBE",NA,"NOAA at 5830 University Research Ct"
"2024-00181925","10/19/2024 23:30:00","10/22/2024 - 11:41","Injured/Sick Person","CBE",NA,"96, Cambridge, Cambridge Hall at 4230 Farm Dr"
"2024-00181954","10/22/2024 10:30:00","10/22/2024 - 13:17","Accident","CBE",NA,"Campus Dr"
"2024-00182214","10/22/2024 22:30:00","10/22/2024 - 22:30","Injured/Sick Person","CBE",NA,"Recreation Artificial Turf Field, Turf Field, Turf Fields"
"2024-00182694","10/23/2024 09:37:00","10/23/2024 - 09:37","Damaged Property","CBE",NA,"26, South Campus Dining Hall at 7093 Preinkert Dr"
"2024-00182784","10/23/2024 13:51:00","10/23/2024 - 13:51","Emergency Petition","CBE",NA,"7400 block of Preinkert Dr"
"2024-00182787","10/23/2024 12:20:00","10/23/2024 - 14:35","Disorderly Conduct","Summons Issued",NA,"Shuttle Bus Facility at 8537 Paint Branch Dr"
"2024-00182802","10/21/2024 15:44:00","10/23/2024 - 15:25","Other Incident","Active/Pending",NA,"26, South Campus Dining Hall at 7093 Preinkert Dr"
"2024-00182990","10/23/2024 22:16:00","10/23/2024 - 22:16","Damage to State Property","CBE",NA,"4200 block of Lehigh Rd"
"2024-00183385","10/24/2024 02:59:00","10/24/2024 - 02:59","Other Incident","CBE",NA,"Leonardtown #244, Leonardtown  at 4673 Rossborough Ln"
"2024-00183632","10/10/2024 11:00:00","10/24/2024 - 09:16","Theft","Summons Issued",NA,"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr"
"2024-00183679","10/23/2024 21:20:00","10/24/2024 - 11:11","Injured/Sick Person","CBE",NA,"17, Cecil, Cecil Hall at 7549 Calvert Service Ln"
"2024-00183932","10/24/2024 16:30:00","10/24/2024 - 20:19","Vandalism","CBE",NA,"4100 block of Stadium Dr"
"2024-00183984","10/22/2024 00:00:00","10/24/2024 - 21:16","Injured/Sick Person","CBE",NA,"Elkton, Elkton Hall at 3981 Denton Service Ln"
"2024-00184076","10/24/2024 23:32:00","10/24/2024 - 23:32","CDS Violation","Active/Pending",NA,"Washington Quad"
"2024-00184087","10/23/2024 17:00:00","10/24/2024 - 23:49","Theft","Active/Pending",NA,"3400 block of Tulane Dr"
"2024-00184122","10/25/2024 00:54:00","10/25/2024 - 00:54","Injured/Sick Person","CBE",NA,"Commons 3, SCC 3, South Campus Commons 3 at 4318 Knox Rd"
"2024-00184427","10/25/2024 08:15:00","10/25/2024 - 08:15","Suspicious Person/Auto","CBE",NA,"Journalism Building, Knight Hall at 7765 Alumni Dr"
"2024-00184459","08/19/2024 09:23:00","10/25/2024 - 09:41","Theft","Investigation Pending",NA,"91, Chemistry, Chemistry Building at 8051 Regents Dr"
"2024-00184545","10/25/2024 13:25:00","10/25/2024 - 13:36","Theft","Active/Pending",NA,"Commons 7, SCC 7, South Campus Commons 7 at 6801 Preinkert Dr"
"2024-00184559","10/25/2024 14:00:00","10/25/2024 - 14:59","Theft","Unfounded",NA,"Edward St. John Learning and Teaching Center, ESJ at 4131 Campus Dr"
"2024-00184715","10/25/2024 19:18:00","10/25/2024 - 19:18","Assist Other Agency","CBE",NA,"3500 block of East West Hwy"
"2024-00184765","10/25/2024 21:35:00","10/25/2024 - 21:35","Injured/Sick Person","CBE",NA,"Football Team House, Gossett, Gossett Hall at 4068 Fieldhouse Dr"
"2024-00184948","10/26/2024 00:44:00","10/26/2024 - 00:44","Injured/Sick Person","CBE",NA,"4, Ritchie Coliseum at 7675 Baltimore Ave"
"2024-00184972","10/26/2024 01:48:00","10/26/2024 - 01:48","Assist Other Agency","CBE",NA,"Animal Science Building at 8127 Regents Dr"
"2024-00185321","10/26/2024 17:17:00","10/26/2024 - 17:17","Other Incident","CBE",NA,"Capital One Field, Football Stadium, SECU Stadium"
"2024-00185486","10/26/2024 23:43:00","10/26/2024 - 23:43","Injured/Sick Person","CBE",NA,"7400 block of Baltimore Ave"
"2024-00185621","10/27/2024 03:06:00","10/27/2024 - 03:06","Injured/Sick Person","CBE",NA,"96, Cambridge, Cambridge Hall at 4230 Farm Dr"
"2024-00186093","10/27/2024 16:00:00","10/27/2024 - 20:30","Theft","Investigation Pending",NA,"35, McKeldin Library at 7649 Library Ln"
"2024-00186130","10/27/2024 20:56:00","10/27/2024 - 21:28","Stolen Motor Vehicle","Active/Pending",NA,"3400 block of Tulane Dr"
"2024-00186213","10/27/2024 23:00:00","10/27/2024 - 23:17","Injured/Sick Person","CBE",NA,"4200 block of Farm Dr"
"2024-00186373","10/28/2024 06:31:00","10/28/2024 - 06:31","Injured/Sick Person","CBE",NA,"Regents Dr"
"2024-00186563","10/28/2024 10:13:00","10/28/2024 - 10:38","Telephone/EMail Misuse","Investigation Pending",NA,"Artemesia Building at 8400 Baltimore Ave"
"2024-00186612","10/28/2024 08:00:00","10/28/2024 - 12:18","Other Incident","CBE",NA,"8500 block of Paint Branch Dr"
"2024-00193837","08/22/2024 20:00:00","10/28/2024 - 12:18","Other Incident","Active/Pending",NA,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
"2024-00186713","10/28/2024 13:55:00","10/28/2024 - 14:23","Accident","Active/Pending",NA,"Mowatt Ln"
"2024-00186846","10/28/2024 17:42:00","10/28/2024 - 17:42","Suspicious Person/Auto","Active/Pending",NA,"iONQ, Paint Branch Building at 4505 Campus Dr"
"2024-00186847","10/28/2024 17:30:00","10/28/2024 - 17:53","Theft","Active/Pending",NA,"Commons 1, SCC 1, South Campus Commons 1 at 4250 Lehigh Rd"
"2024-00186956","10/28/2024 22:42:00","10/28/2024 - 22:42","CDS Violation","Arrest",NA,"Regents Dr"
"2024-00187442","10/29/2024 08:41:00","10/29/2024 - 08:41","Injured/Sick Person","CBE",NA,"Alpha Delta Pi, Alpha Delta Pi Sorority at 4535 College Ave"
"2024-00187620","10/29/2024 13:50:00","10/29/2024 - 14:45","Theft","Investigation Pending",NA,"Yahentamitsi at 4136 Stadium Dr"
"2024-00187698","09/27/2024 00:01:00","10/29/2024 - 16:13","Police Information","CBE",NA,"7200 block of Preinkert Dr"
"2024-00187739","09/20/2024 00:00:00","10/29/2024 - 16:57","Other Incident","CBE",NA,"Commons 3, SCC 3, South Campus Commons 3 at 4318 Knox Rd"
"2024-00187744","10/29/2024 17:22:00","10/29/2024 - 17:22","Accident","Active/Pending",NA,"Lot 9b"
"2024-00187753","10/29/2024 17:41:00","10/29/2024 - 18:08","Sex Offense","Arrest",NA,"7300 block of Baltimore Ave"
"2024-00187911","10/29/2024 22:34:00","10/29/2024 - 22:34","Emergency Petition","CBE",NA,"7200 block of Preinkert Dr"
"2024-00188344","10/22/2024 00:00:00","10/30/2024 - 09:37","Harassment/Stalking","Active/Pending",NA,"8100 block of Regents Dr"
"2024-00188369","10/30/2024 11:18:00","10/30/2024 - 11:18","Check on the  Welfare","CBE",NA,"8000 block of La Plata Dr"
"2024-00188371","10/30/2024 11:16:00","10/30/2024 - 11:45","Emergency Petition","CBE",NA,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
"2024-00188390","10/29/2024 13:45:00","10/30/2024 - 13:48","Emergency Petition","CBE",NA,"36, Plant Sciences Building at 4291 Fieldhouse Dr"
"2024-00188408","10/30/2024 15:43:00","10/30/2024 - 15:43","Injured/Sick Person","CBE",NA,"Visitor Center at the Hotel at the University of Maryland at 7777 Baltimore Ave"
"2024-00188459","10/19/2024 15:00:00","10/30/2024 - 16:40","Suspicious Activity","CBE",NA,"35, McKeldin Library at 7649 Library Ln"
"2024-00188688","10/30/2024 18:30:00","10/30/2024 - 21:29","Other Incident","CBE",NA,"PG3, SDG, Stadium Drive Parking Garage at 4025 Stadium Dr"
"2024-00188925","10/31/2024 01:20:00","10/31/2024 - 01:20","CDS Violation","Arrest",NA,"Lot 2a"
"2024-00189198","10/31/2024 07:56:00","10/31/2024 - 07:56","Injured/Sick Person","CBE",NA,"7600 block of Library Ln"
"2024-00189245","10/30/2024 15:30:00","10/31/2024 - 10:19","Damage to State Property","CBE",NA,"Pyon Chen, Pyon-Chen Hall at 8097 La Plata Dr"
"2024-00189269","10/31/2024 11:56:00","10/31/2024 - 11:56","Overdose","CBE",NA,"Dartmouth Ave"
"2024-00189270","10/30/2024 21:30:00","10/31/2024 - 11:59","Theft","Investigation Pending",NA,"48, Francis Scott Key, Francis Scott Key Hall, FS Key Hall, FSK at 4282 Chapel Ln"
"2024-00189300","10/31/2024 06:54:00","10/31/2024 - 15:32","Vandalism","Active/Pending",NA,"Oakland, Oakland Hall at 3912 Denton Service Ln"
"2024-00189440","10/31/2024 22:25:00","10/31/2024 - 22:25","Injured/Sick Person","CBE",NA,"64, Dorchester, Dorchester Hall at 3947 Campus Dr"
"2024-00189562","10/31/2024 22:45:00","10/31/2024 - 23:55","Injured/Sick Person","CBE",NA,"Baltimore Ave"
